iter	Passed	Remaining
0	0	78
1	1	69
2	2	64
3	2	67
4	3	70
5	4	72
6	7	100
7	9	106
8	10	109
9	11	106
10	12	103
11	13	101
12	14	100
13	16	104
14	18	102
15	19	101
16	21	105
17	23	105
18	24	102
19	24	99
20	25	97
21	26	94
22	27	93
23	29	93
24	30	90
25	31	88
26	31	86
27	32	84
28	33	83
29	37	86
30	39	87
31	40	86
32	42	85
33	43	83
34	44	81
35	44	79
36	45	77
37	46	75
38	47	74
39	48	73
40	49	71
41	49	68
42	52	69
43	53	68
44	54	66
45	55	65
46	56	63
47	56	61
48	57	59
49	58	58
50	59	56
51	59	55
52	60	53
53	61	52
54	61	50
55	62	49
56	63	47
57	63	46
58	64	44
59	66	44
60	67	43
61	68	42
62	69	40
63	70	39
64	70	38
65	71	36
66	72	35
67	73	34
68	74	33
69	74	32
70	75	30
71	76	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	23
77	81	23
78	82	21
79	83	20
80	84	19
81	84	18
82	85	17
83	86	16
84	87	15
85	87	14
86	88	13
87	89	12
88	89	11
89	90	10
90	91	9
91	91	7
92	92	6
93	93	5
94	93	4
95	94	3
96	95	2
97	97	1
98	98	0
99	99	0
