iter	Passed	Remaining
0	154	154195
1	156	77929
2	157	52303
3	158	39385
4	158	31636
5	159	26464
6	161	22846
7	163	20212
8	163	18035
9	164	16277
10	165	14837
11	167	13761
12	169	12858
13	170	12012
14	171	11257
15	172	10614
16	173	10038
17	175	9557
18	176	9100
19	177	8674
20	177	8288
21	179	7986
22	181	7709
23	183	7448
24	184	7195
25	185	6953
26	186	6717
27	187	6497
28	188	6311
29	189	6141
30	190	5962
31	191	5790
32	192	5629
33	193	5495
34	195	5386
35	197	5282
36	198	5161
37	199	5042
38	200	4928
39	200	4821
40	203	4764
41	204	4664
42	205	4565
43	205	4470
44	206	4380
45	208	4323
46	210	4261
47	211	4192
48	212	4120
49	213	4059
50	214	4000
51	215	3935
52	216	3873
53	218	3823
54	219	3766
55	220	3713
56	222	3681
57	224	3640
58	226	3607
59	227	3557
60	227	3508
61	228	3459
62	229	3413
63	230	3378
64	232	3341
65	233	3298
66	236	3292
67	238	3266
68	239	3235
69	241	3207
70	243	3184
71	244	3156
72	245	3120
73	246	3085
74	247	3053
75	254	3093
76	256	3079
77	258	3055
78	259	3023
79	260	2991
80	261	2964
81	262	2936
82	262	2902
83	263	2872
84	267	2874
85	270	2874
86	271	2852
87	272	2825
88	273	2798
89	274	2773
90	275	2748
91	276	2729
92	277	2704
93	277	2679
94	278	2655
95	283	2670
96	284	2651
97	286	2638
98	287	2619
99	288	2599
100	289	2579
101	291	2566
102	292	2545
103	293	2525
104	297	2539
105	299	2525
106	304	2539
107	305	2522
108	306	2504
109	307	2485
110	308	2467
111	309	2453
112	312	2451
113	313	2436
114	314	2420
115	315	2404
116	317	2396
117	318	2383
118	321	2378
119	322	2367
120	323	2351
121	331	2384
122	333	2375
123	334	2364
124	335	2351
125	337	2340
126	338	2324
127	338	2308
128	341	2308
129	344	2302
130	345	2289
131	346	2275
132	346	2261
133	347	2246
134	348	2232
135	349	2219
136	350	2205
137	350	2190
138	351	2176
139	352	2164
140	353	2150
141	353	2135
142	357	2139
143	359	2134
144	360	2123
145	361	2112
146	361	2100
147	362	2088
148	363	2078
149	364	2066
150	365	2055
151	366	2047
152	368	2037
153	374	2057
154	375	2048
155	377	2039
156	377	2029
157	378	2019
158	379	2008
159	380	1998
160	381	1986
161	381	1975
162	382	1964
163	383	1953
164	385	1952
165	387	1946
166	388	1937
167	389	1928
168	390	1919
169	391	1910
170	392	1901
171	393	1893
172	394	1886
173	395	1876
174	395	1866
175	396	1857
176	397	1847
177	397	1837
178	400	1835
179	401	1830
180	402	1823
181	404	1816
182	405	1808
183	406	1801
184	406	1792
185	408	1786
186	408	1777
187	409	1769
188	410	1760
189	410	1752
190	411	1743
191	412	1735
192	415	1735
193	417	1735
194	418	1728
195	420	1722
196	420	1715
197	421	1708
198	423	1702
199	423	1695
200	424	1688
201	425	1680
202	426	1672
203	426	1665
204	427	1657
205	430	1657
206	431	1654
207	433	1648
208	434	1644
209	435	1637
210	436	1630
211	437	1625
212	438	1621
213	439	1615
214	440	1608
215	441	1601
216	442	1595
217	445	1597
